,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
4321,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,7,,2 baths,4.0,10.0,58,4.5,$271.00
8436,5264883,f,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,3,,1 bath,2.0,2.0,3,3.33,$52.00
2808,57236849,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,82,4.68,$22.00
11518,412923631,f,,Private room in rental unit,Private room,3,,1 shared bath,1.0,2.0,13,4.23,$39.00
14975,5602073,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,1,5.0,$37.00
1402,6809870,t,,Entire rental unit,Entire home/apt,6,,1 bath,3.0,5.0,295,4.85,$114.00
10148,367613585,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,0,,$201.00
10701,936445,t,,Entire rental unit,Entire home/apt,6,,2 baths,2.0,4.0,31,4.94,$215.00
7923,4396136,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,4,4.25,$120.00
12457,346367515,f,,Entire rental unit,Entire home/apt,3,,2 baths,2.0,2.0,1,5.0,$92.00
287,1869452,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,135,4.42,$90.00
3879,29736832,t,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,6,,1 bath,3.0,4.0,15,4.93,$75.00
7487,37032072,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 private bath,1.0,1.0,3,4.67,$17.00
1899,5729069,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,16,,4.5 baths,6.0,10.0,6,3.75,"$1,200.00"
3000,4918740,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,2 baths,2.0,3.0,206,4.74,$138.00
7999,40897714,f,"Barcelona, CT, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,3,5.0,$59.00
1490,4452491,f,"Barcelona, Cataluña, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,139,4.57,$228.00
14723,42886082,f,,Private room in rental unit,Private room,2,,2 shared baths,1.0,1.0,3,5.0,$100.00
4432,144478262,f,,Private room in home,Private room,1,,2 shared baths,,1.0,2,4.5,$45.00
1662,8164313,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,515,4.87,$75.00
6389,183340,f,,Entire rental unit,Entire home/apt,9,,3 baths,5.0,8.0,9,4.0,$500.00
15173,242031344,f,,Entire condo,Entire home/apt,3,,1.5 baths,2.0,2.0,0,,$199.00
14492,268526100,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,1,4.0,$17.00
13832,24910925,t,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,2,,1 bath,,1.0,0,,$75.00
13039,448883484,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,2.0,3.0,19,4.79,$226.00
13943,457389299,t,"Barcelona, Catalunya, Spain",Shared room in villa,Shared room,1,,1 shared bath,1.0,6.0,0,,$20.00
9203,243288443,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,2,5.0,$16.00
10433,387237734,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,0,,$112.00
10443,4396136,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,17,4.59,$100.00
2424,2060495,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,14,4.92,$36.00
10514,370718107,t,,Entire rental unit,Entire home/apt,7,,2 baths,3.0,5.0,71,4.83,$199.00
10168,5614931,f,,Entire rental unit,Entire home/apt,3,,1 bath,1.0,1.0,14,4.79,$113.00
9131,318426506,f,,Entire rental unit,Entire home/apt,6,,3 baths,3.0,6.0,4,4.25,$160.00
7559,264332806,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,,1.0,62,4.37,$35.00
59,431839,t,,Entire rental unit,Entire home/apt,5,,1 bath,3.0,3.0,153,4.61,$95.00
9526,340466110,f,,Room in hotel,Private room,2,,1 private bath,1.0,1.0,0,,"$9,200.00"
11667,265147782,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,2,5.0,$66.00
10843,404888119,f,,Private room in hostel,Private room,3,,1 shared bath,1.0,,3,4.33,$128.00
14401,271226374,f,,Entire condo,Entire home/apt,6,,2 baths,4.0,6.0,0,,$88.00
2803,67723465,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,218,4.55,$106.00
6425,1447144,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,3.0,2,5.0,$105.00
6868,31036132,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,0,,$150.00
14725,284150179,f,,Entire rental unit,Entire home/apt,12,,1.5 baths,2.0,10.0,1,5.0,$70.00
1010,8471729,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,115,4.57,$300.00
15389,64011330,f,,Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,0,,$95.00
2464,4687292,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,292,4.86,$96.00
13614,2819397,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,0,,$130.00
10087,5614931,f,"Barcelona, Catalonia, Spain",Entire serviced apartment,Entire home/apt,2,,1 bath,1.0,1.0,5,4.6,$132.00
