host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
f,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,12,$15.00
t,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,200,$80.00
f,Eixample,Entire rental unit,Entire home/apt,8,2 baths,3.0,6.0,0,"$1,000.00"
t,Eixample,Private room in rental unit,Private room,1,2 shared baths,1.0,1.0,2,$107.00
t,Sant Andreu,Private room in rental unit,Private room,1,1 private bath,,1.0,18,$35.00
f,Eixample,Entire loft,Entire home/apt,2,1 bath,,2.0,5,$49.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,2,$56.00
f,Ciutat Vella,Room in hotel,Private room,2,1 shared bath,1.0,1.0,18,$74.00
f,Ciutat Vella,Private room in casa particular,Private room,2,1 shared bath,1.0,1.0,26,$79.00
t,Gràcia,Private room in rental unit,Private room,1,2 baths,1.0,1.0,26,$23.00
t,Ciutat Vella,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,8,$211.00
f,Nou Barris,Private room in rental unit,Private room,2,1 shared bath,3.0,4.0,37,$50.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,11,$35.00
t,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,30,$40.00
f,Eixample,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,16,$81.00
f,Gràcia,Entire rental unit,Entire home/apt,5,2 baths,2.0,4.0,1,$188.00
f,Sants-Montjuïc,Entire loft,Entire home/apt,2,1 bath,1.0,2.0,0,$60.00
f,Ciutat Vella,Entire condo,Entire home/apt,4,1 bath,1.0,3.0,8,$102.00
f,Eixample,Room in boutique hotel,Private room,12,1 shared bath,1.0,6.0,2,$239.00
f,Nou Barris,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,35,$20.00
t,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,124,$96.00
f,Sant Andreu,Private room in rental unit,Private room,1,1 shared bath,3.0,1.0,10,$20.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,3.0,37,$91.00
f,Eixample,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,4,$22.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,23,$64.00
f,Ciutat Vella,Room in hotel,Private room,1,1 private bath,1.0,1.0,0,$84.00
t,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,93,$156.00
f,Ciutat Vella,Entire loft,Entire home/apt,3,1 bath,2.0,2.0,27,$44.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,0,$48.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,7,$85.00
f,Eixample,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,134,$35.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,5,$60.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,9,$106.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,1,$70.00
f,Ciutat Vella,Private room in condo,Private room,1,1 shared bath,1.0,1.0,0,$100.00
f,Eixample,Private room in bed and breakfast,Private room,4,1 private bath,,,0,$144.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,4,1 bath,3.0,4.0,52,$200.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,27,$71.00
f,Les Corts,Entire rental unit,Entire home/apt,8,2 baths,4.0,7.0,5,$189.00
f,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,0,$95.00
f,Sants-Montjuïc,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,5,$36.00
f,Sant Martí,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,18,$169.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,45,$62.00
f,Ciutat Vella,Private room in rental unit,Private room,2,3 shared baths,1.0,2.0,66,$20.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,32,$129.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,207,$165.00
f,Sant Martí,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,60,$30.00
f,Gràcia,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,4.0,137,$76.00
